Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
2303,,Madison,St,,Entire,,,,,10/28/2008
2215,,Dumesnil,St,,Entire,,,,,10/29/2008
2607,W,Madison,St,,Entire,,,,,10/29/2008
5305,,Layne,Rd,,Entire,,,,,11/3/2008
2815,W,Madison,St,,Entire,,,,,11/3/2008
2131,W,Madison,St,,Entire,,,,,11/11/2008
6515,,Shirley,Ave,,Entire,,,,,11/11/2008
1911,,Bank,St,,Entire,,,,,11/19/2008
3,,Grand Avenue,Ct,,Entire,,,,,11/19/2008
2333,,Magazine,St,,Entire,,,,,11/19/2008
2507,,Magazine,St,,Entire,,,,,11/19/2008
2713,,Magazine,St,,Rear,,,,,11/19/2008
2721,,Magazine,St,,Entire,,,,,11/19/2008
1342,,Sale,Ave,,Entire,,,,,11/19/2008
1314,,Hemlock,St,,Entire,,,,,11/26/2008
2725,,Magazine,St,,Entire,,,,,11/26/2008
1825,W,Main,St,,Entire,,,,,12/10/2008
3004,,River Park,Dr,,Entire,,,,,12/10/2008
3700,,Wheeler,Ave,,Entire,,,,,12/12/2008
2606,,Woodland,Ave,,Entire,,,,,12/12/2008
2706,W,Main,St,,Entire,,,,,12/16/2008
311,S,20th ,St,,Entire,,,,,12/23/2008
2820,W,Main,St,,Rear,,,,,12/23/2008
4114,,Wheeler,Ave,,Entire,,,,,12/30/2008
1704,,Bicknell,Ave,,Entire,,,,,1/9/2009
201,N,36th,St,,Rear,,,,,1/12/2009
2409,W,Main ,S,,Rear,,,,,1/16/2009
1628,,Wilson,Ave,,Entire,,,,,1/16/2009
1384,,Dixie,Hwy,,Entire,,,,,1/20/2009
426,S,24th,St,,Entire,,,,,1/22/2009
3604,,Larkwood,Ave,,Entire,,,,,2/2/2009
1414,S,9th ,St,,Entire,,,,,2/3/2009
225,S,26th,St,,Entire,,,,,2/5/2009
2918,,Alford,Ave,,Entire,,,,,2/10/2009
2310,,Dulworth,Dr,,Entire,,,,,2/10/2009
2121,,Duncan,St,,Garage,,,,,2/11/2009
4216,E,Indian,Trl,,Entire,,,,,2/12/2009
3009,,Greenwood,Ave,,Entire,,,,,2/19/2009
1630,,Wilson,Ave,,Entire,,,,,2/24/2009
2729,,Algonquin,Pkwy,,Entire,,,,,3/3/2009
1747,W,Oak,St,,Entire,,,,,3/4/2009
2023,,Woodland,Ave,,Entire,,,,,3/5/2009
419,,South Park,Rd,,Garage,,,,,3/10/2009
241,S,39th,St,,Entire,,,,,3/17/2009
2728,W,Chestnut,St,,Entire,,,,,3/30/2009
4314,,Shepherdsville,Rd,,Entire,,,,,4/6/2009
2627,,St Xavier,St,,Entire,,,,,4/7/2009
208,N,22nd,St,,Entire,,,,,4/15/2009
1406,,Paul,Ave,,Garage,,,,,4/15/2009
4104,,Blevins Gap,Rd,,Entire,,,,,4/20/2009
1334,S,20th,St,,Entire,,,,,4/23/2009
1779,W,Ormsby,Ave,,Entire,,,,,4/24/2009
10004,,Brownsboro,Road,,Entire,,,,,5/6/2009
10006,,Brownsboro,Road,,Entire,,,,,5/6/2009
2737,,Algonquin,Pkwy,,Entire,,,,,5/13/2009
650,S,27th,St,,Rear Addition,,,,,5/19/2009
2412,,Cornwall ,St,,Entire,,,,,5/19/2009
2002,W ,Jefferson,St,,Rear Addition,,,,,5/20/2009
845,S,23rd,St,,Entire,,,,,5/29/2009
3804,,Miami,Ave,,Entire,,,,,5/30/2009
2121,W,Chestnut,St,,Entire,,,,,6/5/2009
2020,W,Market,St,,Entire,,,,,6/9/2009
830,,Dresden,Ave,,Entire,,,,,6/17/2009
2327,,Montgomery,St,,Entire,,,,,6/17/2009
1104,S,17th,St,,Entire,,,,,6/22/2009
8307,,Olive Hill,Ct,,Entire,,,,,6/22/2009
2234,W ,Muhammad Ali,Blvd,,Entire,,,,,6/25/2009
4110,,Camp Ground ,Road,,Entire,,,,,6/30/2009
2427,W,Chestnut,St,,Entire,,,,,7/16/2009
610,,Camp,St,,Entire,,,,,7/21/2009
